Time,subjectID,TrialID,FittsLaw-Id,ButtonName,Target-X,Target-Y,Input-Method,GazeCoordinates-X,GazeCoordinates-Y,Previous-Target-X,Pervious-Target-Y,Cursor
338.0748,11,2,1.8,Panel-3-Target-6,0.1138306,2.07547,Eye-Gaze,0.09230337,2.045443,0.1241455,1.234009,Yes
340.5207,11,2,1.8,Panel-3-Target-7,-0.1411743,1.291321,Eye-Gaze,-0.1663498,1.240223,0.1138306,2.07547,Yes
344.6578,11,2,1.8,Panel-3-Target-8,0.3440247,1.926453,Eye-Gaze,0.353692,1.810073,-0.1411743,1.291321,Yes
346.9063,11,2,1.8,Panel-3-Target-9,-0.2974548,1.511444,Eye-Gaze,-0.319756,1.47943,0.3440247,1.926453,Yes
349.1604,11,2,1.8,Panel-3-Target-1,0.4237671,1.651306,Eye-Gaze,0.3674953,1.586892,-0.2974548,1.511444,Yes
351.2596,11,2,2.5,Panel-7-Target-1,0.582489,1.626312,Eye-Gaze,0.5575671,1.572633,0.4237671,1.651306,Yes
352.6115,11,2,2.5,Panel-7-Target-2,-0.4428406,1.828094,Eye-Gaze,-0.4314304,1.809459,0.582489,1.626312,Yes
360.8648,11,2,2.5,Panel-7-Target-3,0.460022,1.250519,Eye-Gaze,0.4679413,1.20729,-0.4428406,1.828094,Yes
363.1122,11,2,2.5,Panel-7-Target-4,-0.213562,2.143341,Eye-Gaze,-0.2325123,2.093212,0.460022,1.250519,Yes
367.4597,11,2,2.5,Panel-7-Target-5,0.1513977,1.045776,Eye-Gaze,0.1149497,0.9761171,-0.213562,2.143341,Yes
368.8939,11,2,2.5,Panel-7-Target-6,0.1462402,2.208221,Eye-Gaze,0.1390622,2.192518,0.1513977,1.045776,Yes
370.76,11,2,2.5,Panel-7-Target-7,-0.2087097,1.114105,Eye-Gaze,-0.2587622,1.115047,0.1462402,2.208221,Yes
380.8091,11,2,2.5,Panel-7-Target-8,0.4575806,2.003265,Eye-Gaze,0.4413314,1.94692,-0.2087097,1.114105,Yes
382.3267,11,2,2.5,Panel-7-Target-9,-0.4428406,1.423859,Eye-Gaze,-0.4463729,1.396226,0.4575806,2.003265,Yes
384.1113,11,2,2.5,Panel-7-Target-1,0.582489,1.626312,Eye-Gaze,0.5589129,1.582162,-0.4428406,1.423859,Yes
384.1441,11,2,3.1,Panel-9-Target-1,0.5222168,1.648773,Eye-Gaze,0.5589129,1.582162,0.582489,1.626312,Yes
385.6158,11,2,3.1,Panel-9-Target-2,-0.3783264,1.82901,Eye-Gaze,-0.3805417,1.816722,0.5222168,1.648773,Yes
396.8574,11,2,3.1,Panel-9-Target-3,0.4161072,1.294525,Eye-Gaze,0.4166629,1.254216,-0.3783264,1.82901,Yes
398.9832,11,2,3.1,Panel-9-Target-4,-0.1756897,2.111481,Eye-Gaze,-0.1822829,2.097439,0.4161072,1.294525,Yes
401.5841,11,2,3.1,Panel-9-Target-5,0.1359558,1.112274,Eye-Gaze,0.1272276,1.051392,-0.1756897,2.111481,Yes
409.6601,11,2,3.1,Panel-9-Target-6,0.1377563,2.173828,Eye-Gaze,0.1321301,2.118671,0.1359558,1.112274,Yes
414.1115,11,2,3.1,Panel-9-Target-7,-0.1720581,1.168884,Eye-Gaze,-0.1825618,1.149335,0.1377563,2.173828,Yes
415.3444,11,2,3.1,Panel-9-Target-8,0.4212341,1.991791,Eye-Gaze,0.4435264,1.988068,-0.1720581,1.168884,Yes
418.1767,11,2,3.1,Panel-9-Target-9,-0.3777161,1.466034,Eye-Gaze,-0.396841,1.411808,0.4212341,1.991791,Yes
423.4145,11,2,3.1,Panel-9-Target-1,0.5222168,1.648773,Eye-Gaze,0.524005,1.597073,-0.3777161,1.466034,Yes
46.39165,11,1,2.6,Panel-1-Target-1,0.5403748,1.646729,Eye-Gaze,0.5083219,1.650506,0,0,No
49.53878,11,1,2.6,Panel-1-Target-2,-0.3537903,1.814087,Eye-Gaze,-0.319053,1.833536,0.5403748,1.646729,No
53.76918,11,1,2.6,Panel-1-Target-3,0.4385071,1.3349,Eye-Gaze,0.4206506,1.334445,-0.3537903,1.814087,No
55.2575,11,1,2.6,Panel-1-Target-4,-0.1441956,2.068604,Eye-Gaze,-0.1758732,2.002425,0.4385071,1.3349,No
58.22429,11,1,2.6,Panel-1-Target-5,0.1668396,1.165222,Eye-Gaze,0.1687614,1.16674,-0.1441956,2.068604,No
60.60794,11,1,2.6,Panel-1-Target-6,0.1616821,2.123627,Eye-Gaze,0.2044514,2.155878,0.1668396,1.165222,No
63.35615,11,1,2.6,Panel-1-Target-7,-0.146637,1.217957,Eye-Gaze,-0.1640144,1.197426,0.1616821,2.123627,No
68.76479,11,1,2.6,Panel-1-Target-8,0.4370117,1.960846,Eye-Gaze,0.4279909,1.969996,-0.146637,1.217957,No
71.56509,11,1,2.6,Panel-1-Target-9,-0.3453064,1.481628,Eye-Gaze,-0.3458892,1.502448,0.4370117,1.960846,No
74.77151,11,1,2.6,Panel-1-Target-1,0.5403748,1.646729,Eye-Gaze,0.5435418,1.646994,-0.3453064,1.481628,No
90.50591,11,1,3.2,Panel-6-Target-1,0.602478,1.650604,Eye-Gaze,0.5960917,1.653913,0.5403748,1.646729,No
97.97283,11,1,3.2,Panel-6-Target-2,-0.4316406,1.859253,Eye-Gaze,-0.4253932,1.840571,0.602478,1.650604,No
115.886,11,1,3.2,Panel-6-Target-3,0.4736328,1.270477,Eye-Gaze,0.4528727,1.26514,-0.4316406,1.859253,No
126.343,11,1,3.2,Panel-6-Target-4,-0.1978149,2.165802,Eye-Gaze,-0.2056343,2.155804,0.4736328,1.270477,No
129.8369,11,1,3.2,Panel-6-Target-5,0.1601868,1.072357,Eye-Gaze,0.1731782,1.018785,-0.1978149,2.165802,No
136.8751,11,1,3.2,Panel-6-Target-6,0.1616821,2.237335,Eye-Gaze,0.1674663,2.255294,0.1601868,1.072357,No
141.0094,11,1,3.2,Panel-6-Target-7,-0.1954041,1.140472,Eye-Gaze,-0.2174483,1.139371,0.1616821,2.237335,No
142.0618,11,1,3.2,Panel-6-Target-8,0.4815063,2.037872,Eye-Gaze,0.4755608,2.044616,-0.1954041,1.140472,No
146.2905,11,1,3.2,Panel-6-Target-9,-0.4361572,1.455048,Eye-Gaze,-0.4473126,1.446915,0.4815063,2.037872,No
151.9713,11,1,3.2,Panel-6-Target-1,0.602478,1.650604,Eye-Gaze,0.5715652,1.664898,-0.4361572,1.455048,No
152.006,11,1,1.8,Panel-3-Target-1,0.4237671,1.651306,Eye-Gaze,0.5754005,1.665474,0.602478,1.650604,No
153.3724,11,1,1.8,Panel-3-Target-2,-0.2926025,1.798035,Eye-Gaze,-0.3278935,1.845412,0.4237671,1.651306,No
154.9719,11,1,1.8,Panel-3-Target-2,-0.2926025,1.798035,Eye-Gaze,-0.3878104,1.82551,-0.2926025,1.798035,No
164.1198,11,1,1.8,Panel-3-Target-3,0.3410034,1.37616,Eye-Gaze,0.2879278,1.467426,-0.2926025,1.798035,No
170.6365,11,1,1.8,Panel-3-Target-4,-0.1308899,2.018158,Eye-Gaze,-0.129606,2.094516,0.3410034,1.37616,No
178.3717,11,1,1.8,Panel-3-Target-5,0.1241455,1.234009,Eye-Gaze,0.1392016,1.353182,-0.1308899,2.018158,No
190.0754,11,1,1.8,Panel-3-Target-6,0.1138306,2.07547,Eye-Gaze,0.01530499,2.068236,0.1241455,1.234009,No
192.622,11,1,1.8,Panel-3-Target-7,-0.1411743,1.291321,Eye-Gaze,-0.1880923,1.34647,0.1138306,2.07547,No
194.6051,11,1,1.8,Panel-3-Target-8,0.3440247,1.926453,Eye-Gaze,0.2660576,2.009956,-0.1411743,1.291321,No
196.8398,11,1,1.8,Panel-3-Target-9,-0.2974548,1.511444,Eye-Gaze,-0.3559721,1.585649,0.3440247,1.926453,No
198.1766,11,1,1.8,Panel-3-Target-1,0.4237671,1.651306,Eye-Gaze,0.3794166,1.71583,-0.2974548,1.511444,No
199.4117,11,1,2.5,Panel-7-Target-1,0.582489,1.626312,Eye-Gaze,0.5848461,1.651564,0.4237671,1.651306,No
200.4785,11,1,2.5,Panel-7-Target-2,-0.4428406,1.828094,Eye-Gaze,-0.5033222,1.871201,0.582489,1.626312,No
